category,subCategory,donor,correct title
UN Agencies,,UN Stabilization Mission in Haiti,UN Stabilization Mission In Haiti
UN Agencies,,UNAIDS Budget Results Accountability Framework (UBRAF),UNAIDS Budget Results Accountability Framework (UBRAF)
UN Agencies,,UNDP Funding Windows,UNDP Funding Windows
UN Agencies,,UNITED NATIONS,United Nations
UN Agencies,,UNITED NATIONS CHILDREN'S FUND,United Nations Children'S Fund
UN Agencies,,United Nations Development Coordination Office,United Nations development Coordination Office
UN Agencies,,United Nations Development Fund for Women,United Nations development Fund For Women
UN Agencies,,UNITED NATIONS DEVELOPMENT FUND FOR WOMEN (UN WOMEN),United Nations development Fund For Women (Un Women)
UN Agencies,,UNITED NATIONS DEVELOPMENT PRO,United Nations development Pro
UN Agencies,,"UNITED NATIONS EDUCATIONAL, SCIENTIFIC & CULTURAL ORGANIZATION","United Nations Educational, Scientific & Cultural Organization"
UN Agencies,,UNITED NATIONS ENVIRONMENT PROGRAMME,United Nations Environment Programme
UN Agencies,,United Nations Fund for Population Activities,United Nations Fund For Population Activities
UN Agencies,,United Nations High Commissioner for Human Rights (UNHCHR),United Nations High Commissioner For Human Rights (UNHCHR)
UN Agencies,,United Nations Integrated Mission in East Timor (UNMIT),United Nations Integrated Mission In East Timor (UNMIT)
UN Agencies,,United Nations International Strategy for Disaster Reduction,United Nations International Strategy For Disaster Reduction
UN Agencies,,United Nations Mission for Justice Support in Haiti,United Nations Mission For Justice Support In Haiti
UN Agencies,,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA),United Nations Office For The Coordination of Humanitarian Affairs (UNOCHA)
UN Agencies,,UNITED NATIONS POPULATION FUND,United Nations Population Fund
UN Agencies,,UNITED NATIONS VOLUNTEERS,United Nations Volunteers
UN Agencies,,UNIVERSAL POSTAL UNION,Universal Postal Union
UN Agencies,,WORLD FOOD PROGRAMME,World Food Programme
UN Agencies,,WORLD HEALTH ORGANIZATION,World Health Organization
UN Agencies,,WORLD METEOROLOGICAL ORGANIZATION,World Meteorological Organization
UN Agencies,,World Trade Organization,World Trade Organization
UN Agencies,,United Nations Office on Drug and Crime,United Nations Office On Drug And Crime
UN Joint Fund,,MDTFO/JP_Comros_One_UN_Fund,MDTFO-JP Comros One UN Fund
UN Joint Fund,,MDTFO/JP_Expanded_Fund_Window,MDTFO-JP Expanded Fund Window
UN Joint Fund,,MDTFO/JP_Human_Rights_Mainstre,MDTFO-JP Human Rights Mainstre
UN Joint Fund,,MDTFO/JP_Kiribati_One_UN_Fund,MDTFO-JP Kiribati One UN Fund
UN Joint Fund,,MDTFO/JP_Lesotho_one_UN_Fund,MDTFO-JP Lesotho one UN Fund
UN Joint Fund,,MDTFO/JP_Maldives_one_UN_Fund,MDTFO-JP Maldives one UN Fund
UN Joint Fund,,MDTFO/JP_UN_Country_Fund_PNG,MDTFO-JP UN Country Fund PNG
UN Joint Fund,,MDTFO/JP_UNDG_HAITI_RECONSTRUC,MDTFO-JP UNDG HAITI RECONSTRUC
UN Joint Fund,,MDTFO/UNDP CVF,MDTFO-UNDP CVF
UN Joint Fund,,MDTFO\JP_MDG-F_Conflict_&_PB,MDTFO-JP MDG-F Conflict & PB
UN Pooled Funds,,MPTF- Apoyo a la Eficiencia Energ√É¬©tica (EE) y a la Promocion de las Fuentes Renovables de Energia en Funcion del Desarrollo Local (FRE-DL),MPTF-Apoyo a la Eficiencia Energética (EE) y a la Promocion de las Fuentes Renovables de Energia en Funcion del desarrollo Local (FRE-DL)
UN Pooled Funds,,MPTF-JP Samoa Women in Leadership (JWS00),MPTF-JP Samoa Women in Leadership (JWS00)
UN Pooled Funds,,MPTF-SDG Fund,MPTF-SDG Fund
UN Pooled Funds,,MPTF/JP_UN PART RIGHTS DISAB,MPTF-JP UN Part Rights Disab
UN Pooled Funds,,MPTFO - Joint SDG Fund (previously known as The Joint Fund for the 2030 Agenda),MPTFO-Joint SDG Fund (previously known as The Joint Fund for the 2030 Agenda)
UN Pooled Funds,,MPTFO-Spotlight Initiative Fund (SIF00),MPTFO-Spotlight Initiative Fund (SIF00)
UN Pooled Funds,,MPTFO-UN COVID-19 Response & Recovery Fund,MPTFO-Un Covid-19 Response & Recovery Fund
UN Pooled Funds,,MPTFO-UN Haiti Cholera Response MPTF,MPTFO-Un Haiti Cholera Response MPTF
UN Pooled Funds,,Peacebuilding Fund,Peacebuilding Fund
UN Pooled Funds,,THE UNITED NATIONS DEMOCRACY FUND (UNDEF),The United Nations democracy Fund (UNdeF)
UN Pooled Funds,,UN Fund for International Partnerships (UNFIP) Turner Foundation,UN Fund for International Partnerships Turner Foundation (UNFIP)
UN Pooled Funds,,UN Tr Fund for Human Security,Un Tr Fund For Human Security
UN Pooled Funds,,UNDG Member Agencies,UNDG Member Agencies
UN Pooled Funds,,UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement
UN Pooled Funds,,UNDP AS MA_POOLED FUNDS,UNDP as MA Pooled Funds
UN Pooled Funds,,UNITED NATIONS INTER-AGENCY SECRETARIAT FOR THE INTERNATIONAL STRATEGY FOR DISASTER REDUCTION.,United Nations Inter-Agency Secretariat For The International Strategy For Disaster Reduction.
UN Pooled Funds,,United Nations Peace and Development Trust Fund,United Nations Peace And development Trust Fund
UN Pooled Funds,,"UNOCHA/Central Emergency Response Fund, CERF","UNOCHA/Central Emergency Response Fund, CERF"
UN Pooled Funds,,MDTFO JP PFI,MDTFO-JP PFI
UN Pooled Funds,,MPTF- Apoyo a la Eficiencia Energética (EE) y a la Promocion de las Fuentes Renovables de Energia en Funcion del Desarrollo Local (FRE-DL),MPTF- Apoyo a la Eficiencia Energética (EE) y a la Promocion de las Fuentes Renovables de Energia en Funcion del desarrollo Local (FRE-DL)
UN Pooled Funds,,MPTFO-Global Fund for Coral Reefs,MPTFO-Global Fund For Coral Reefs
UN Pooled Funds,,MPTFO-JP Pacific PDEP,MPTFO-Jp Pacific Pdep
UN Pooled Funds,,MPTFO-Pacific Insurance and Climate Adaptation Programme (PICAP),MPTFO-Pacific Insurance And Climate Adaptation Programme (Picap)
UN Pooled Funds,,MPTFO-UN Pacific Strategy Fund,MPTFO-Un Pacific Strategy Fund
UN Pooled Funds,,MPTFO/JPAA_Haiti_Rehab_Mars,MPTFO-JPAA Haiti Rehab Mars
Vertical Funds,,Adaptation Fund  (AF),Adaptation Fund  (AF)
Vertical Funds,,Forest Carbon Partnership Facility Trustee,Forest Carbon Partnership Facility Trustee
Vertical Funds,,Global Environment Fund Truste,Global Environment Fund Truste
Vertical Funds,,GREEN CLIMATE FUND,Green Climate Fund
Vertical Funds,,THE SECRETARIAT OF PACIFIC THE COMMUNITY,The Secretariat of Pacific The Community
Government,Dominicana,Asociación de Administradoras de Fondos de Pensiones de la República Dominicana,Asociación de Administradoras de Fondos de Pensiones de La República Dominicana
Other,Financial Institutions,Banco de Ahorro y Crédito Adopem,Banco de Ahorro Y Crédito Adopem
Other,Financial Institutions,Banco de Reservas de la República Dominicana,Banco de Reservas de La República Dominicana
Other,Financial Institutions,"Banco Popular Dominicano, SA",Banco Popular Dominicano
Other,NGO,CONCERN,Concern Worldwide
Other,Financial Institutions,Cooperativa Vega Real,Cooperativa Vega Real
Other,,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Deutsche Gesellschaft für Internationale Zusammenarbeit
Other,MPTF,mptf,MPTF
Vertical Funds,Trust,GOVERNMENT OF TRUST TERRITORY OF THE PAC,Government of Trust Territory of The Pac
Other,NGO or School,INSTITUTO DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,Instituto de Estudios Politicos Para America Latina Y Africa
Other,Financial Institutions,Motor Crédito,Motor Crédito
Other,Foundation,Velidhoo Adam Malimee Foundation,Velidhoo Adam Malimee Foundation
